client_code;product_name;top;push_notification
3;Кредит наличными;3;"Сабина, студенческая жизнь в Алматы — это не только зачёты и лекции, но и внезапные расходы 😅 Кредит наличными до 2 000 000 ₸ поможет сэкономить 80 000 ₸ в год на процентах. Попробуем оформить?"
3;Обмен валют;4;"Сабина, Алматы живёт в своём ритме — кофе, учёба, прогулки... А как насчёт выгодного обмена валют? 💱 Экономия до 35 384 ₸ в год и никакой комиссии. Настроим курс в приложении?"
4;Премиальная карта;1;"Тимур, как там осень в Караганде? 🍂 У вас на покупки и рестораны уходит 10 163 974 ₸ в год — премиальная карта вернёт до 286 943 ₸ кешбэком, плюс экономия на комиссиях 360 000 ₸. Настроим карту?"
4;Кредитная карта;2;"Тимур, кажется, Караганда знает толк в хорошей жизни: за 3 месяца вы оставили в кафе и магазинах аж 1 416 345 ₸ 🍽️ Кредитная карта вернёт до 768 469 ₸ в год кешбэком. Настроим карту и пусть кешбэк работает?"
4;Кредит наличными;3;"Тимур, как там осень в Караганде? 🍂 Может, пора освежить планы? Кредит наличными до 2 000 000 ₸ экономит 80 000 ₸ в год на процентах. Без залога, справок и суеты. Попробуем оформить?"
4;Депозит Сберегательный (защита KDIF);4;"Тимур, в Караганде осенью так уютно, что хочется всё «заморозить» — даже финансы 😉 Депозит на 100 000 ₸ принесёт вам 16 500 ₸ за год. Надёжно, как степной ветер, и выгодно! Попробуем?"
5;Премиальная карта;1;"Камилла, осень в Алматы — время уютных ресторанов и красивых покупок 🍂 А с вашей премиальной картой кешбэк до 284 127 ₸ в год и 4% на ювелирку и парфюмы. Настроим карту — пусть кешбэк работает!"
5;Кредитная карта;2;"Камилла, кажется, Алматы знает толк в вкусной жизни — за 3 месяца вы потратили 1 418 907 ₸ на продукты, кафе и такси 🍽️ Кредитная карта вернёт до 811 223 ₸ кешбэком в год. Настроим карту?"
5;Кредит наличными;3;"Камилла, осенние закаты в Алматы вдохновляют, но иногда хочется свободы и для бюджета 🍂 Кредит наличными до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год на процентах. Заглянем в банк или оформим онлайн?"
5;Депозит Сберегательный (защита KDIF);4;"Камилла, осень в Алматы — время уютных пледов и горячего чая 🍂 А как насчёт согревать не только душу, но и кошелёк? Депозит под 16,5% годовых принесёт вам +16 500 ₸ с 100 000 ₸ за год. Настроим?"
6;Кредитная карта;1;"Аян, кажется, в Шымкенте знают толк в хорошей еде — на кафе, продукты и такси ушло 1 654 711 ₸ за три месяца! 🍴 Кредитная карта вернёт до 873 332 ₸ кешбэком в год. Настроим карту?"
6;Премиальная карта;2;"Аян, в Шымкенте жизнь кипит, а расходы, похоже, не отстают 😉 С нашей премиальной картой можно вернуть до 303 605 ₸ кешбэком в год — это как бонус к вашему стилю жизни! Настроим карту?"
6;Кредит наличными;3;"Аян, кажется, в Шымкенте даже воздух заряжен энергией перемен 🌞 Если нужен кредит до 2 000 000 ₸, наш вариант сэкономит 80 000 ₸ на процентах в год. Оформим онлайн?"
6;Депозит Сберегательный (защита KDIF);4;"Аян, в Шымкенте осень — время планов и тёплого чая ☕️ А как насчёт «тёплого» дохода? Депозит под 16,5% принесёт 16 500 ₸ за год со 100 000 ₸. Просто «заморозьте» сумму — и наслаждайтесь! Попробуем оформить?"
7;Кредитная карта;1;"Руслан, кажется, в Алматы осень — идеальное время для уютных кафе и вкусных ужинов 🍲 А если бы вы могли вернуть до 876 384 ₸ кешбэком за год? Кредитная карта это умеет. Настроим?"
7;Депозит Сберегательный (защита KDIF);2;"Руслан, в Алматы осень — время уютных вечеров и тёплого чая 🍂 А как вам идея «заморозить» 2 239 782 ₸, чтобы через год получить +369 564 ₸? Депозит под 16,5% — максимум дохода без забот. Оформим?"
7;Депозит Накопительный;3;"Руслан, в Алматы осень — время пледов, чая и планов на будущее 🍂 А как насчёт накопить 347 166 ₸ за год? Депозит ""Накопительный"" со ставкой 15,5% — и мечты становятся ближе. Начнём?"
7;Инвестиции;4;"Руслан, алматинская осень — отличное время, чтобы начать что-то новое, например, инвестиции 🍂 Без комиссий в первый год вы сэкономите 80 351 ₸! Настроим счёт и начнём с малых сумм?"
8;Кредитная карта;1;"Мадина, кажется, в Астане знают толк в приятных мелочах — за 3 месяца на продукты, косметику и кафе ушло 2 127 178 ₸ 😌 Наша кредитка вернёт до 1 082 740 ₸ кешбэком за год. Настроим карту?"
8;Кредит наличными;2;"Мадина, кажется, осень в Астане — самое время для уютных планов 🍂 Кредит наличными до 2 000 000 ₸ с выгодной ставкой экономит 80 000 ₸ в год. Оформим онлайн или заглянете в отделение?"
8;Карта для путешествий;3;"Мадина, кажется, Астана зовёт вас в новое путешествие — такси до аэропорта, билет на самолёт, и вы уже там! 🌍 А с картой для путешествий вернётся 37 685 ₸ кешбэком в год. Настроим?"
8;Депозит Сберегательный (защита KDIF);4;"Мадина, в Астане осень — самое время для уютных решений 🍂 А как вам идея «заморозить» 100 000 ₸ и заработать 16 500 ₸ за год? Депозит под 16,5% — максимум выгоды без лишних движений. Оформим?"
9;Кредитная карта;1;"Арман, осень в Алматы — идеальное время для уютных кафе и ароматной выпечки 🍂 А с нашей кредитной картой вернётся до 949 871 ₸ кешбэком за продукты, косметику и рестораны. Настроим карту и пусть кешбэк работает?"
9;Депозит Сберегательный (защита KDIF);2;"Арман, кажется, алматинская осень — идеальный момент для финансовой «зимовки» 🍂 Депозит под 16,5% годовых принесёт вам 198 262 ₸ за год с 1 201 587 ₸. Просто оставьте деньги работать. Начнём?"
9;Депозит Накопительный;3;"Арман, в Алматы осень — лучшее время для планов и уютных идей, правда? 🍂 А как вам идея депозита с доходностью 15,5%? Положите 1 201 587 ₸, а через год получите +186 246 ₸. Настроим накопления?"
9;Кредит наличными;4;"Арман, кажется, осень в Алматы — самое время для новых возможностей 🍂 Кредит наличными до 2 000 000 ₸ с выгодной ставкой может сэкономить вам 80 000 ₸ в год. Оформим онлайн или за чашкой кофе в отделении?"
10;Кредитная карта;1;"Карина, кажется, в Усть-Каменогорске знают толк в продуктах и косметике! 😉 За 3 месяца вы потратили 1 949 068 ₸, а наша кредитная карта вернёт до 976 195 ₸ кешбэком за год. Настроим карту?"
10;Кредит наличными;2;"Карина, в Усть-Каменогорске осень — время уютных планов и больших идей 🍂 Почему бы не добавить немного свободы? Кредит наличными до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год. Заглянем в детали?"
10;Карта для путешествий;3;"Карина, кажется, Усть-Каменогорск манит в дорогу — за 3 месяца на поездки ушло 198 936 ₸! 🚖 С нашей картой для путешествий вернётся 31 830 ₸ кешбэком в год. Настроим карту — и пусть кешбэк работает?"
10;Депозит Сберегательный (защита KDIF);4;"Карина, в Усть-Каменогорске осень — время перемен 🍂 А как насчёт перемен для ваших накоплений? Депозит под 16,5% годовых принесёт +16 500 ₸ с 100 000 ₸. Отличный способ «заморозить» и заработать. Попробуем?"
11;Кредитная карта;1;"Бауржан, в Павлодаре осень — время уютных кафе и вкусного кофе ☕ А с нашей кредитной картой вы вернёте до 10% кешбэком на еду, косметику и рестораны. Это до 1 013 512 ₸ экономии в год! Настроим карту?"
11;Депозит Сберегательный (защита KDIF);2;"Бауржан, осень в Павлодаре — время уютных планов 🍂 А как вам идея «заморозить» 1 243 820 ₸ под 16,5% годовых и заработать 205 230 ₸? Депозит надёжный, как павлодарская зима. Попробуем?"
11;Депозит Накопительный;3;"Бауржан, павлодарская осень — время для уютных планов и тёплых решений 🍂 Депозит под 15,5% годовых принесёт +192 792 ₸ за год с 1 243 820 ₸. Надежно, как наша Ирина Аллегрова! Оформим?"
11;Кредит наличными;4;"Бауржан, в Павлодаре осень — то самое время, чтобы добавить немного финансовой свободы 🍂 Кредит наличными до 2 000 000 ₸ с выгодной ставкой сэкономит вам 80 000 ₸ в год. Оформим онлайн или заскочите в отделение?"
12;Кредитная карта;1;"Жанар, в Костанае осень — время уютных кафе и вкусных покупок 🍂 С вашей тратой в 1 533 414 ₸ за 3 месяца кредитная карта вернёт до 814 777 ₸ кешбэком в год. Настроим карту?"
12;Кредит наличными;2;"Жанар, осень в Костанае — время уютных планов и горячего чая 🍂 А как насчёт ещё и экономии? Кредит наличными до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год. Погнали оформим?"
12;Карта для путешествий;3;"Жанар, прогулки по Костанаю, конечно, хороши, но иногда хочется и дальше 🚖 С картой для путешествий вы вернёте 42 876 ₸ кешбэком в год на поездках и такси. Настроим карту — и пусть кешбэк работает?"
12;Депозит Сберегательный (защита KDIF);4;"Жанар, осень в Костанае — время уютных чаёв и тёплых решений ☕ Депозит ""Сберегательный"" под 16,5% принесёт вам +16 500 ₸ за год с 100 000 ₸. Доход растёт, пока вы наслаждаетесь моментом. Оформим?"
13;Премиальная карта;1;"Алина, студенту из Алматы жить на полную — это как заказывать любимый кофе со скидкой 😏 Премиальная карта вернёт до 188 722 ₸ кешбэком в год — и никаких комиссий. Настроим карту?"
13;Кредит наличными;2;"Алина, студенческая жизнь в Алматы — это яркие эмоции, но иногда и внезапные траты 😅 Кредит наличными до 2 000 000 ₸ с выгодной ставкой сэкономит 80 000 ₸ в год. Попробуем оформить?"
13;Карта для путешествий;3;"Алина, путешествия — это как большой поход по барам Алматы, только с чемоданом вместо коктейля 😄 С картой для путешествий вы сэкономите 38 777 ₸ в год благодаря кешбэку 4% на поездки и транспорт. Настроим карту?"
13;Депозит Сберегательный (защита KDIF);4;"Алина, в Алматы осень — время уютных чаёв и больших планов 🍂 А как насчёт заработать 16 500 ₸ за год без суеты? Депозит под 16,5% годовых — заморозим 100 000 ₸ и ждём доход. Попробуем?"
14;Премиальная карта;1;"Диас, в Астане осень — это время уютных вечеров и вкусных ужинов 🍂 А премиальная карта вернёт до 224 341 ₸ кешбэком в год (4% на рестораны и ювелирку). Настроим карту — и пусть кешбэк работает?"
14;Кредит наличными;2;"Диас, в Астане осень — время горячего чая и тёплых решений 🍂 Кредит наличными до 2 000 000 ₸ с выгодной ставкой сэкономит вам 80 000 ₸ в год. Оформим онлайн или в отделении?"
14;Карта для путешествий;3;"Диас, кажется, путешествия — ваше второе имя 🌍 За 3 месяца вы потратили 168 117 ₸ на поездки. С картой для путешествий вернётся 26 899 ₸ кешбэком в год. Настроим её?"
14;Депозит Сберегательный (защита KDIF);4;"Диас, в Астане зима может быть суровой, но ваш бюджет может согреться! ❄️ Депозит под 16,5% годовых принесёт вам +16 500 ₸ за год с 100 000 ₸. Максимум выгоды без суеты. Настроим?"
15;Премиальная карта;1;"Нурия, в Шымкенте жизнь всегда яркая, а с премиальной картой она станет ещё и выгодной 💎 Кешбэк до 240 265 ₸ в год на шопинг и рестораны — это как маленький праздник каждый месяц. Настроим карту? 🙂"
15;Кредит наличными;2;"Нурия, кажется, в Шымкенте осень особенно вдохновляет на перемены 🍂 Если задумались о больших планах, кредит наличными до 2 000 000 ₸ поможет сэкономить 80 000 ₸ в год. Пора действовать?"
15;Карта для путешествий;3;"Нурия, путешествия — это как шымкентская весна: вдохновляют и заряжают! 🌿 Оформите карту и возвращайте до 31 143 ₸ кешбэком в год на поездки и такси. Настроим карту?"
15;Депозит Сберегательный (защита KDIF);4;"Нурия, в Шымкенте осень — время уютных чаёв и новых планов 🍂 А как вам идея приумножить сбережения? Депозит под 16,5% годовых принесёт 16 500 ₸ с 100 000 ₸ за год. Оформим?"
16;Премиальная карта;1;"Ерасыл, кажется, Караганда знает толк в уютных кафе и атмосферных местах — в этом году вы потратили 1 200 484 ₸ на рестораны и приятные покупки 🍽️. А с премиальной картой могли бы вернуть 183 756 ₸ кешбэком! Настроим карту?"
16;Кредит наличными;2;"Ерасыл, кажется, студенческая жизнь в Караганде зовёт на подвиги — а с кредитом наличными до 2 000 000 ₸ можно сэкономить 80 000 ₸ в год! Всё просто: ни залога, ни справок. Попробуем? 😉"
16;Карта для путешествий;3;"Ерасыл, 4% кешбэка на такси и самолёты — это как будто Караганда сама оплачивает твои путешествия! Экономия до 47 565 ₸ в год на поездках. Настраиваем карту и планируем маршрут? 😊"
16;Депозит Сберегательный (защита KDIF);4;"Ерасыл, в Караганде осень — время горячего чая и тёплых решений 🍂 А как насчёт согреть бюджет? Депозит под 16,5% даст +16 500 ₸ за год с 100 000 ₸. Максимум пользы, минимум движений. Глянем условия?"
17;Премиальная карта;1;"Жанель, как там в Таразе — уже предзимние прогулки по центру начались? 😊 Премиальная карта может вернуть вам до 238 576 ₸ кешбэком в год, включая 4% на рестораны и ювелирку. Настроим карту — пусть кешбэк работает?"
17;Кредит наличными;2;"Жанель, осень в Таразе — время пледов и уютных планов 🍂 А как насчёт планов с экономией? Кредит наличными до 2 000 000 ₸ поможет сэкономить 80 000 ₸ в год. Оформим онлайн?"
17;Карта для путешествий;3;"Жанель, кажется, Тараз зовёт в новые приключения 🏞 С картой для путешествий вы вернёте 4% кешбэка за билеты, такси и поездки — это 29 344 ₸ экономии в год. Настроим карту?"
17;Депозит Сберегательный (защита KDIF);4;"Жанель, в Таразе осень — время уютных планов и тёплого чая 🍂 А если добавить к этому депозит под 16,5%? 100 000 ₸ принесут вам 16 500 ₸ за год. Настроим сбережения?"
18;Премиальная карта;1;"Санжар, кажется, Кызылорда знает толк в хорошей жизни — рестораны, парфюм, ювелирка на 1 440 443 ₸ в год говорят сами за себя! 💎 Премиальная карта вернёт до 245 264 ₸ кешбэком. Настроим?"
18;Кредит наличными;2;"Санжар, говорят, в Кызылорде осень — время новых планов 🍂 А что, если добавить к ним немного свободы? Кредит до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год. Оформим онлайн или заглянете в отделение?"
18;Карта для путешествий;3;"Санжар, кажется, Кызылорда мечтает о путешествиях, а ваша карта уже готова поддержать! 😏 4% кешбэка на транспорт и поездки сэкономят 27 939 ₸ в год. Настроим карту и начнём собирать кешбэк?"
18;Депозит Сберегательный (защита KDIF);4;"Санжар, в Кызылорде осень — время уютных чаепитий. А как насчёт согреть будущее? ☕ Депозит под 16,5% годовых принесёт 16 500 ₸ с 100 000 ₸ за год. Надёжно, как степной горизонт. Оформим?"
19;Кредитная карта;1;"Азамат, кажется, кафе Алматы уже знают вас в лицо 😄 За 3 месяца — 1 428 687 ₸ на еду, такси и рестораны! Кредитная карта вернёт до 812 703 ₸ кешбэком в год. Настроим карту?"
19;Премиальная карта;2;"Азамат, осень в Алматы — время уютных ресторанов и обновок 😌 А премиальная карта вернёт до 779 598 ₸ в год: кешбэк до 4% и экономия на комиссиях. Настроим карту и пусть деньги работают?"
19;Кредит наличными;3;"Азамат, кажется, осень в Алматы — лучшее время для больших планов 🍂 Кредит наличными до 2 000 000 ₸ поможет с ними, а ставка сэкономит 80 000 ₸ в год. Погнали оформим?"
19;Карта для путешествий;4;"Азамат, кажется, Алматы зовёт в путь: горы, море или даже поездка на «золотой автобус» 😎 Карта для путешествий сэкономит вам 35 936 ₸ в год на кешбэке за транспорт и поездки. Настроим карту?"
20;Кредитная карта;1;"Анель, кажется, в Астане самые уютные кафе — ваш личный хит! За 3 месяца вы потратили 1 451 290 ₸ на еду, такси и рестораны 🍴 Кредитная карта вернёт до 816 017 ₸ кешбэком за год. Настроим карту?"
20;Премиальная карта;2;"Анель, кажется, в Астане рестораны, ювелирка и парфюмерия — ваши слабости? 😏 С премиальной картой вернёте до 261 705 ₸ кешбэком в год. Настроим карту — пусть кешбэк работает?"
20;Кредит наличными;3;"Анель, в Астане осень — это время горячего чая и тёплых решений ☕ Кредит наличными до 2 000 000 ₸ поможет с мечтами, экономя 80 000 ₸ в год на процентах. Заходите оформить?"
20;Карта для путешествий;4;"Анель, кажется, Астана зовёт в новые путешествия! ✈️ С картой для путешествий вы можете вернуть до 43 216 ₸ кешбэком за поездки и транспорт в год. Настроим карту — и пусть кешбэк работает на вас?"
21;Кредитная карта;1;"Павел, кажется, Алматы знает толк в гастрономических удовольствиях — за три месяца на продукты, кафе и такси ушло 1 469 990 ₸ 😋 Кредитная карта вернёт до 818 650 ₸ кешбэком в год. Настроим карту?"
21;Премиальная карта;2;"Павел, алматинская осень — время уютных ужинов и ярких покупок 🍷💍 С премиальной картой вы вернёте до 773 481 ₸ в год: кешбэк до 4% и экономия на комиссиях. Настроим карту?"
21;Кредит наличными;3;"Павел, алматинская осень — это чай с облепихой и уютные планы 🍂 А как насчёт ещё 80 000 ₸ экономии в год? Кредит наличными до 2 000 000 ₸, ставка от 12%. Погнали оформим?"
21;Депозит Сберегательный (защита KDIF);4;"Павел, в Алматы осень — время уютного чая, пледов и… умных финансовых решений 🍂 Депозит под 16,5% годовых принесёт вам +52 824 ₸ за год с 320 145 ₸. Готовы сделать первый шаг к пассивному доходу?"
22;Кредитная карта;1;"Аружан, кажется, Шымкент знает, как наслаждаться жизнью! 💃 На продукты, кафе и такси за 3 месяца ушло 1 498 654 ₸ — кредитная карта вернёт до 857 216 ₸ кешбэком в год. Настроим карту?"
22;Премиальная карта;2;"Аружан, как там жизнь в солнечном Шымкенте? 🌞 С вашей премиальной картой можно вернуть до 261 519 ₸ в год кешбэком — это как бонус за любимые рестораны или ювелирку. Настроим карту?"
22;Кредит наличными;3;"Аружан, в Шымкенте осень — время уютных прогулок и горячего чая 🍂 Но если хочется большего, кредит наличными до 2 000 000 ₸ сэкономит вам 80 000 ₸ в год. Оформим онлайн? 😉"
22;Карта для путешествий;4;"Аружан, кажется, Шымкент зовёт на новые приключения! ✈️ С картой для путешествий вы сэкономите 44 125 ₸ на кешбэке за год — это 4% обратно с билетов, такси и транспорта. Настроим карту и соберём чемоданы?"
23;Кредитная карта;1;"Темирлан, говорят, в Павлодаре лучшие пироги — вы точно не один раз баловали себя в кафе! 🥧 Кредитная карта вернёт до 842 465 ₸ кешбэком в год за любимые покупки. Настроим карту?"
23;Премиальная карта;2;"Темирлан, в Павлодаре осень — это время уютных ужинов и долгих прогулок 🍂 А премиальная карта вернёт до 268 368 ₸ кешбэком в год: на рестораны, парфюмерию и даже ювелирку. Настроим карту?"
23;Кредит наличными;3;"Темирлан, осень в Павлодаре — время уютных чаёв и больших планов 🍂 А что, если кредит до 2 000 000 ₸ поможет с мечтами, ещё и сэкономив 80 000 ₸ в год? Погнали узнаем подробности?"
23;Карта для путешествий;4;"Темирлан, путешествия из Павлодара становятся ещё приятнее, когда возвращаешь часть потраченного пути! 🚖 Карта для путешествий вернёт 42 474 ₸ кешбэком в год. Настроим карту и пусть она работает на ваши поездки?"
24;Кредитная карта;1;"Гульмира, кажется, в Усть-Каменогорске знают толк в хорошей еде — за 3 месяца вы потратили 1 685 968 ₸ на продукты, кафе и такси 🍴 Кредитная карта вернёт до 895 184 ₸ кешбэком в год. Настроим карту?"
24;Премиальная карта;2;"Гульмира, говорят, в Усть-Каменогорске осенью особенно уютно в ресторанах 🍂 А с премиальной картой можно вернуть до 288 065 ₸ кешбэком в год — и не только на еду, но и на украшения и парфюм. Настроим карту?"
24;Кредит наличными;3;"Гульмира, в Усть-Каменогорске осень — время мечтать о тепле и уюте 🌿 А как насчёт добавить к этому свободу? Кредит наличными до 2 000 000 ₸ сэкономит 80 000 ₸ на процентах в год. Погнали оформим?"
24;Карта для путешествий;4;"Гульмира, путешествия из Усть-Каменогорска — это всегда приключение 🗺️ А с картой для путешествий можно вернуть 41 564 ₸ кешбэком в год на такси, поезда и самолёты. Настроим карту — и пусть кешбэк работает?"
25;Премиальная карта;1;"Адиль, осень в Алматы — время уютных ресторанов и стильных покупок 🍂 С премиальной картой вернётся до 248 708 ₸ кешбэком в год, а ещё — экономия на комиссиях. Настроим карту и пусть кешбэк работает?"
25;Кредитная карта;2;"Адиль, ваши походы в кафе и магазины — это уже почти гастротур по Алматы 😋 А с кредитной картой можно вернуть до 769 566 ₸ кешбэком в год. Настроим карту — и пусть она работает на вас?"
25;Карта для путешествий;3;"Адиль, кажется, Алматы зовёт в путешествие! 🌍 За 3 месяца вы потратили 311 411 ₸ на поездки — а могли бы вернуть 49 826 ₸ кешбэком с нашей картой для путешествий. Настроим её?"
25;Депозит Сберегательный (защита KDIF);4;"Адиль, кажется, что осень в Алматы — время для тёплого чая и... умных финансовых решений 🍂 С «Депозитом Сберегательным» ваш 100 000 ₸ превратится в +16 500 ₸ за год. Готовы заморозить и заработать?"
26;Премиальная карта;1;"Маржан, осень в Астане — время уютных вечеров и вкусных ужинов 🍂 А премиальная карта вернёт до 838 409 ₸ в год: кешбэк 4% на рестораны, парфюмерию и украшения. Настроим карту?"
26;Кредитная карта;2;"Маржан, в Астане говорят, что лучшие разговоры начинаются за чашкой кофе. А вы за 3 месяца потратили 1 404 728 ₸ на продукты и кафе! Кредитная карта вернёт до 807 700 ₸ кешбэком в год. Настроим карту? 😊"
26;Карта для путешествий;3;"Маржан, путешествия из Астаны — это же как маленькие побеги из степи к морям и горам 🌍 А карта для путешествий вернёт вам 116 554 ₸ кешбэком за год. Настроим карту — пусть кешбэк работает на вас?"
26;Депозит Сберегательный (защита KDIF);4;"Маржан, в Астане осень — время уютных чайных пауз 🍂 А как насчёт сделать их ещё приятнее? Депозит «Сберегательный» с доходностью 16,5% принесёт +16 500 ₸ к 100 000 ₸ за год. Попробуем?"
27;Премиальная карта;1;"Нурсултан, в Караганде ужинать в ресторанах — это искусство! 🍽 А с премиальной картой кешбэк до 296 090 ₸ в год сделает его ещё приятнее. Настроим карту — и пусть кешбэк работает?"
27;Кредитная карта;2;"Нурсултан, кажется, в Караганде умеют жить вкусно — за 3 месяца на кафе, продукты и такси ушло 1 572 993 ₸! 😋 Кредитная карта вернёт до 830 962 ₸ кешбэком в год. Настроим карту?"
27;Карта для путешествий;3;"Нурсултан, кажется, Караганда манит новыми горизонтами, а ваши траты на поездки — 555 532 ₸ за 3 месяца — уже тянут на серьёзный маршрут! 🚖 С картой для путешествий вернётся 88 885 ₸ кешбэком в год. Настроим карту?"
27;Депозит Сберегательный (защита KDIF);4;"Нурсултан, копить в Караганде — как закладывать уголь: терпение сегодня, тепло завтра 😊 С вкладом «Сберегательный» 16 500 ₸ в год с 100 000 ₸ — просто лежат и растут. Настроим доход?"
28;Премиальная карта;1;"Алтынай, кажется, в Кызылорде знают толк в жизни — на рестораны и ювелирку уходит 1 890 185 ₸ в год 🍷💎 А премиальная карта вернёт до 275 727 ₸ кешбэком и сохранит на комиссиях! Настроим вместе?"
28;Кредитная карта;2;"Алтынай, кажется, в Кызылорде знают толк в вкусной жизни — на кафе, продукты и такси за 3 месяца ушло 1 406 796 ₸ 🍽️ Кредитная карта вернёт до 778 379 ₸ кешбэком в год. Настроим карту?"
28;Карта для путешествий;3;"Алтынай, кажется, в Кызылорде путешествия — это не просто мечта, а стиль жизни! 🚖✈️ С картой для путешествий вы сэкономите 89 468 ₸ в год на кешбэке. Настроим карту и отправимся за новыми впечатлениями?"
28;Депозит Сберегательный (защита KDIF);4;"Алтынай, кажется, Кызылорда знает толк в том, как беречь и приумножать 💡 С депозитом под 16,5% вы получите +16 500 ₸ в год с 100 000 ₸. Готовы дать деньгам поработать на вас? 😊"
29;Кредитная карта;1;"Сая, похоже, в Таразе кафе и рестораны — ваш второй дом 😋 За 3 месяца на вкусные радости ушло 1 727 829 ₸! С кредитной картой вернётся до 691 132 ₸ кешбэком в год. Настроим карту?"
29;Премиальная карта;2;"Сая, в Таразе осень — время уютных вечеров и вкусных ужинов 🍲 А с премиальной картой вы сможете вернуть до 296 411 ₸ кешбэком в год — за рестораны, парфюмерию и даже ювелирку. Настроим карту?"
29;Карта для путешествий;3;"Сая, кажется, Тараз зовёт в путешествие! 🚖✈️ С картой для путешествий вы вернёте до 94 515 ₸ в год кешбэком на транспорт и поездки. Настроим карту — и пусть кешбэк работает?"
29;Депозит Сберегательный (защита KDIF);4;"Сая, в Таразе осень — время тёплого чая и уютных планов ☕ А как насчёт плана с доходностью 16,5%? Депозит принесёт 16 500 ₸ за год со 100 000 ₸. Настроим сбережения?"
30;Кредитная карта;1;"Ербол, в Павлодаре осень — самое время для уютных кафе и вкусных ужинов 🍂 Кредитная карта вернёт до 914 818 ₸ кешбэком в год на продукты, рестораны и даже такси. Настроим карту за пару минут?"
30;Премиальная карта;2;"Ербол, в Павлодаре осень — время уютных ужинов и подарков себе любимому 😉 Ваша премиальная карта вернёт до 310 898 ₸ кешбэком в год и сэкономит на комиссиях. Настроим?"
30;Карта для путешествий;3;"Ербол, кажется, Павлодар зовёт в дорогу 🌍! За 3 месяца на поездки ушло 629 105 ₸ — с картой для путешествий вы могли бы вернуть 100 657 ₸ кешбэком за год. Настроим карту и пусть она работает?"
30;Депозит Сберегательный (защита KDIF);4;"Ербол, осень в Павлодаре будто шепчет: «Самое время начать копить!» 🍂 Депозит под 16,5% годовых принесёт вам +16 500 ₸ за год с 100 000 ₸. Готовы «заморозить» сумму ради максимального дохода? Настроим?"
31;Премиальная карта;1;"Дамир, вечер в Алматы — время выбрать: ресторан, парфюм или ювелирка? 😏 А премиальная карта вернёт до 272 148 ₸ кешбэком в год! Настраиваем карту — и пусть кешбэк работает?"
31;Кредитная карта;2;"Дамир, чувствуется, что Алматы вас балует вкусной едой и уютными кафе 🍴 За 3 месяца вы потратили 1 486 209 ₸ — кредитная карта вернёт до 815 726 ₸ кешбэком в год. Настроим «любимые категории»?"
31;Кредит наличными;3;"Дамир, осень в Алматы — время уютных кафешек и тёплых встреч 🍂 А если бюджет немного стесняет, кредит наличными до 2 000 000 ₸ спасёт. Экономия — до 80 000 ₸ в год! Погнали оформим?"
